transect,cam,transect_cam,mission,n_distance_annotations,reference_dir,n_reference_clips,status,note
136,63,136_cam063,M1,84,videos/reference/mission_1_phase_3_pss/E_II/VIDEO_DE_REFERENCE/T_136/Cam063,2,found,
137,123,137_cam123,M3,970,videos/reference/mission_3_phase_3_pss/EQUIPE_3/Ref/T137/Ref_cam123,3,found,
138,31,138_cam031,M2,186,videos/reference/mission_2_phase_3_pss/EQUIPE_3/Transect_Kouloundala/Transect_-Reff/T138/Cam-031,3,found,
139,78,139_cam078,M2,1322,videos/reference/mission_2_phase_3_pss/EQUIPE_3/Transect_Kouloundala/Transect_-Reff/T139/Cam-078,3,found,
140,80,140_cam080,M2,1076,videos/reference/mission_2_phase_3_pss/EQUIPE_3/Transect_Kouloundala/Transect_-Reff/T140/Cam-080,3,found,
140,128,140_cam128,M2,394,videos/reference/mission_2_phase_3_pss/EQUIPE_3/Transect_Kouloundala/Transect_-Reff/T140/Cam-128,3,found,
141,91,141_cam091,M2,18,videos/reference/mission_2_phase_3_pss/EQUIPE_3/Transect_Kouloundala/Transect_-Reff/T141/Cam-091,3,found,
143,77,143_cam077,M3,129,videos/reference/mission_3_phase_3_pss/EQUIPE_3/Ref/T143/Ref_cam077,3,found,
144,9,144_cam009,M3,38,videos/reference/mission_3_phase_3_pss/EQUIPE_3/Ref/T144/Ref_cam09,3,found,
144,115,144_cam115,M3,127,videos/reference/mission_3_phase_3_pss/EQUIPE_3/Ref/T144/Ref_cam115,3,found,
145,65,145_cam065,M2,30,videos/reference/mission_2_phase_3_pss/EQUIPE_3/Transect_Kouloundala/Transect_-Reff/T145/Cam_065,3,found,
147,54,147_cam054,M3,237,videos/reference/mission_3_phase_3_pss/EQUIPE_3/Ref/T147/Ref_cam054,3,found,
147,129,147_cam129,M3,442,videos/reference/mission_3_phase_3_pss/EQUIPE_3/Ref/T147/Ref_cam129,3,found,
149,6,149_cam006,M3,69,videos/reference/mission_3_phase_3_pss/EQUIPE_3/Ref/T149/Ref_cam06,3,found,
152,28,152_cam028,M3,8,videos/reference/mission_3_phase_3_pss/EQUIPE_3/Ref/T152/Ref_cam028,3,found,
153,81,153_cam081,M3,19,videos/reference/mission_3_phase_3_pss/EQUIPE_3/Ref/T153/Ref_cam081,3,found,
153,95,153_cam095,M3,1157,videos/reference/mission_3_phase_3_pss/EQUIPE_3/Ref/T153/Ref_cam095,3,found,
155,74,155_cam074,M3,172,videos/reference/mission_3_phase_3_pss/EQUIPE_2/Ref/T155/Ref_cam74,2,found,
157,12,157_cam012,M3,675,videos/reference/mission_3_phase_3_pss/EQUIPE_2/Ref/T157/Ref_cam12,2,found,
158,41,158_cam041,M3,493,videos/reference/mission_3_phase_3_pss/EQUIPE_2/Ref/T158/Ref_cam_41,2,found,
159,50,159_cam050,M3,1524,videos/reference/mission_3_phase_3_pss/EQUIPE_2/Ref/T159/Ref_cam50,2,found,
159,89,159_cam089,M3,13,videos/reference/mission_3_phase_3_pss/EQUIPE_2/Ref/T159/Ref_cam89,2,found,
160,64,160_cam064,M3,4,videos/reference/mission_3_phase_3_pss/EQUIPE_2/Ref/T160/Ref_cam64,2,found,
160,72,160_cam072,M3,42,videos/reference/mission_3_phase_3_pss/EQUIPE_2/Ref/T160/Ref_cam72,2,found,
